id,restaurant_id,restaurant_name,name,category,price,spicy,salty,sweet,portion,value,speed,signature,available,tags,source,last_checked,recommend_note,food_character
M011,C003,엄마손,순두부찌개,한식,6500,2,3,2,2,4,3,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게""]",메뉴판 사진,2026-06-17T00:00:00,,hot-soup
M012,C003,엄마손,뚝배기불고기,한식,8000,0,2,4,4,3,3,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게""]",메뉴판 사진,2026-06-17T00:00:00,,main-dish
M013,C003,엄마손,돌솥비빔밥,한식,6500,0,2,3,2,4,3,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게""]",메뉴판 사진,2026-06-17T00:00:00,,rice-meal
M014,C003,엄마손,육개장,한식,7000,3,3,2,3,4,3,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게"",""해장""]",메뉴판 사진,2026-06-17T00:00:00,,hot-soup
M015,C004,한솥도시락,빅치킨마요,도시락,4600,0,3,4,4,5,4,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게"",""포장"",""배달"",""시험기간"",""빠른식사""]",메뉴판 사진,2026-06-17T00:00:00,,rice-meal
M016,C004,한솥도시락,제육 많이 덮밥,도시락,6500,1,3,3,4,5,4,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게"",""포장"",""배달"",""시험기간"",""빠른식사""]",메뉴판 사진,2026-06-17T00:00:00,,rice-meal
M017,C004,한솥도시락,돈까스 도련님 고기고기,도시락,7300,0,2,2,5,4,4,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게"",""포장"",""배달"",""시험기간"",""빠른식사""]",메뉴판 사진,2026-06-17T00:00:00,,rice-meal
M018,C004,한솥도시락,왕카레돈까스 덮밥,도시락,6700,0,3,3,3,5,4,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게"",""포장"",""배달"",""시험기간"",""빠른식사""]",메뉴판 사진,2026-06-17T00:00:00,,rice-meal
M019,C005,경대컵밥,경대컵밥도시락,도시락,6400,1,3,3,2,4,3,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게"",""포장"",""배달"",""시험기간"",""빠른식사""]",메뉴판 사진,2026-06-17T00:00:00,,rice-meal
M020,C005,경대컵밥,오리훈제컵밥도시락,도시락,7400,1,3,3,4,4,3,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게"",""포장"",""배달"",""시험기간"",""빠른식사""]",메뉴판 사진,2026-06-17T00:00:00,,rice-meal
M021,C005,경대컵밥,제육컵밥도시락,도시락,7400,1,3,3,4,4,3,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게"",""포장"",""배달"",""시험기간"",""빠른식사""]",메뉴판 사진,2026-06-17T00:00:00,,rice-meal
M022,C005,경대컵밥,치즈컵밥도시락,도시락,7400,1,3,3,2,4,3,true,true,"[""가성비"",""혼밥"",""단체"",""든든함"",""가볍게"",""포장"",""배달"",""시험기간"",""빠른식사""]",메뉴판 사진,2026-06-17T00:00:00,,rice-meal
M023,C006,쇼부라멘,소유라멘,일식/돈까스,5500,0,4,4,2,3,4,true,true,"[""혼밥"",""든든함"",""가볍게"",""시험기간"",""빠른식사"",""해장"",""데이트""]",메뉴판 사진,2026-06-17T00:00:00,,noodle-special
M024,C006,쇼부라멘,미소라멘,일식/돈까스,6000,0,3,4,2,3,4,true,true,"[""혼밥"",""든든함"",""가볍게"",""시험기간"",""빠른식사"",""해장"",""데이트""]",메뉴판 사진,2026-06-17T00:00:00,,noodle-special
M025,C006,쇼부라멘,돈코츠라멘,일식/돈까스,6500,0,3,4,2,3,4,true,true,"[""혼밥"",""든든함"",""가볍게"",""시험기간"",""빠른식사"",""해장"",""데이트""]",메뉴판 사진,2026-06-17T00:00:00,,noodle-special
M026,C006,쇼부라멘,탄탄멘,일식/돈까스,7000,2,3,3,2,3,4,true,true,"[""혼밥"",""든든함"",""가볍게"",""시험기간"",""빠른식사"",""해장"",""데이트""]",메뉴판 사진,2026-06-17T00:00:00,,noodle-special
M027,C007,봉구스 밥버거,봉구스,도시락,3500,0,3,4,1,5,4,true,true,"[""혼밥"",""가볍게"",""시험기간"",""빠른식사"",""포장"",""배달"",""가성비""]",메뉴판 사진,2026-06-17T00:00:00,,quick-snack
M028,C007,봉구스 밥버거,햄치즈,도시락,5100,0,3,4,2,4,4,true,true,"[""혼밥"",""가볍게"",""시험기간"",""빠른식사"",""포장"",""배달""]",메뉴판 사진,2026-06-17T00:00:00,,quick-snack
M029,C007,봉구스 밥버거,봉구킹,도시락,7300,0,3,4,3,3,4,true,true,"[""혼밥"",""가볍게"",""시험기간"",""빠른식사"",""포장"",""배달""]",메뉴판 사진,2026-06-17T00:00:00,,quick-snack
M030,C007,봉구스 밥버거,봉구퀸,도시락,7300,0,3,4,3,3,4,true,true,"[""혼밥"",""가볍게"",""시험기간"",""빠른식사"",""포장"",""배달""]",메뉴판 사진,2026-06-17T00:00:00,,quick-snack
M031,C008,미스사이공,소고기 쌀국수,아시안,6500,0,3,2,3,3,4,true,true,"[""혼밥"",""가볍게"",""시험기간"",""빠른식사"",""데이트""]",메뉴판 사진,2026-06-17T00:00:00,,noodle-special
M032,C008,미스사이공,닭고기 쌀국수,아시안,6500,0,3,2,3,3,4,true,true,"[""혼밥"",""가볍게"",""시험기간"",""빠른식사"",""데이트""]",메뉴판 사진,2026-06-17T00:00:00,,noodle-special
M033,C008,미스사이공,사이공 볶음밥,아시안,6500,0,3,2,3,3,4,true,true,"[""혼밥"",""가볍게"",""시험기간"",""빠른식사"",""데이트""]",메뉴판 사진,2026-06-17T00:00:00,,rice-meal
M034,C009,맘스터치,싸이버거 세트,햄버거,9000,1,3,3,5,2,3,true,true,"[""혼밥"",""시험기간"",""포장"",""배달"",""단체"",""든든함""]",메뉴판 사진,2026-06-17T00:00:00,,quick-snack
M035,C009,맘스터치,아라비아따치즈버거 세트,햄버거,11500,2,3,4,5,2,3,true,true,"[""혼밥"",""시험기간"",""포장"",""배달"",""단체"",""든든함""]",메뉴판 사진,2026-06-17T00:00:00,,quick-snack
M036,C009,맘스터치,화이트갈릭싸이버거 세트,햄버거,9600,1,3,4,5,2,3,true,true,"[""혼밥"",""시험기간"",""포장"",""배달"",""단체"",""든든함""]",메뉴판 사진,2026-06-17T00:00:00,,quick-snack
M037,C010,따뜻한밥상,김치찌개,한식,5000,2,3,3,3,5,4,true,true,"[""혼밥"",""가볍게"",""시험기간"",""빠른식사"",""든든함"",""가성비"",""단체""]",메뉴판 사진,2026-06-17T00:00:00,,hot-soup
M038,C011,소소소국수집,잔치국수,분식,6000,0,3,3,1,3,3,true,true,"[""혼밥"",""단체"",""시험기간"",""든든함"",""빠른식사"",""해장"",""비오는날""]",메뉴판 사진,2026-06-17T00:00:00,,noodle-special
M039,C011,소소소국수집,비빔국수,분식,7000,2,3,4,1,3,3,true,true,"[""혼밥"",""단체"",""시험기간"",""든든함"",""빠른식사"",""해장"",""비오는날""]",메뉴판 사진,2026-06-17T00:00:00,,noodle-special
M040,C011,소소소국수집,열무국수,분식,7000,2,3,4,1,3,3,true,true,"[""혼밥"",""단체"",""시험기간"",""든든함"",""빠른식사"",""해장"",""비오는날""]",메뉴판 사진,2026-06-17T00:00:00,,noodle-special
